phrase_original,phrase_normalized,structure,len,freq_global,doc_freq,pattern_score,in_gold,status,delta_f,f_score_after
second pricing,second pricing,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
competitive framework,competitive framework,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
optimal auction,optimal auction,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
competitive auction,competitive auction,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
administrative isolation,administrative isolation,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
additional computation,additional computation,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
super solutions,super solution,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
ringling school,ringling school,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.098162160551255e-05,
rhetorical manoeuvring,rhetorical manoeuvring,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
optimal resource,optimal resource,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
online spam,online spam,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
possible worlds,possible world,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
large games,large game,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
semantic alignment,semantic alignment,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
graphical representation,graphical representation,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
absolute traders,absolute trader,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
relative traders,relative trader,ADJ+NOUN,2,2,1,0.025836,False,rejected,-4.1959453358608734e-05,
generic event layer,generic event layer,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
logarithmic aggregation functions,logarithmic aggregation function,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
social choice function,social choice function,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
linear program solve,linear program solve,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
global pagerank values,global pagerank value,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
new test set,new test set,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
online spam filtering,online spam filtering,ADJ+NOUN+NOUN,3,2,1,0.024691,False,rejected,-4.1959453358608734e-05,
uma strategy,uma strategy,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.1959453358608734e-05,
bdi programming,bdi programming,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.1959453358608734e-05,
join deliberation,join deliberation,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.1959453358608734e-05,
xml documents,xml document,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.1959453358608734e-05,
monotone dnf,monotone dnf,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.1959453358608734e-05,
eclipse software,eclipse software,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
google search,google search,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
dpm price,dpm price,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
football league,football league,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
node color,node color,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
govstat project,govstat project,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
realworld deployment,realworld deployment,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
telecom operations,telecom operation,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
message service,message service,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
trec platform,trec platform,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
tdt tracking,tdt tracking,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
test center,test center,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
ss market,ss market,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
node movement,node movement,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
baseline expertise,baseline expertise,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
english speech,english speech,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
nasdaq stocks,nasdaq stock,PROPN+NOUN,2,1,1,0.1,False,rejected,-4.2446826065106746e-05,
lcd monitor,lcd monitor,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
multitarget emt,multitarget emt,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
et al,et al,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
pagerank algorithm,pagerank algorithm,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
xml retrieval,xml retrieval,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
schlumberger eclipse,schlumberger eclipse,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
national football,national football,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
hasse diagram,hasse diagram,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
mnm service,mnm service,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
munich network,munich network,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
network management,network management,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
routing algorithm,routing algorithm,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
java message,java message,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
task assignment,task assignment,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
army aberdeen,army aberdeen,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
aberdeen test,aberdeen test,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
trec ap,trec ap,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
aviation administration,aviation administration,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
monte carlo,monte carlo,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
carlo estimation,carlo estimation,PROPN+PROPN,2,1,1,0.086957,False,rejected,-4.2446826065106746e-05,
bidding strategy,bidding strategy,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2446826065106746e-05,
revenue potential,revenue potential,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2446826065106746e-05,
computer simulations,computer simulation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2446826065106746e-05,
seller revenue,seller revenue,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
discount factors,discount factor,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
negotiation deadline,negotiation deadline,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
function propagation,function propagation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
management domain,management domain,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
optimisation techniques,optimisation technique,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
operations researchers,operation researcher,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
finite set,finite set,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
truth telling,truth telling,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
agents possess,agent possess,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
starting point,starting point,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
covariance matrix,covariance matrix,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
contract outcomes,contract outcome,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
beta distributions,beta distribution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
fuse reputation,fuse reputation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
rumour propagation,rumour propagation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
markov tracking,markov tracking,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
action selection,action selection,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
dbc framework,dbc framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
constraint optimization,constraint optimization,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
dpop algorithm,dpop algorithm,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
path cost,path cost,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
traversal heuristics,traversal heuristic,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
computation sizes,computation size,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
satisfaction framework,satisfaction framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
dcsp search,dcsp search,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
bdi framework,bdi framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
programming frameworks,programming framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
software platforms,software platform,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
interaction capabilities,interaction capability,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
software architectures,software architecture,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
execution semantics,execution semantic,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
percentage error,percentage error,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
machines framework,machine framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
modelling interactions,modelling interaction,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
style plans,style plan,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
race conditions,race condition,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
argumentation framework,argumentation framework,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
argument preference,argument preference,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
preference relation,preference relation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
argument generation,argument generation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
counterargument generation,counterargument generation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
argumentation process,argumentation process,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
logic ctlkp,logic ctlkp,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
plausibility update,plausibility update,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
update operator,update operator,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
plausibility assumptions,plausibility assumption,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
rank scores,rank score,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
web ranking,web ranking,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
diffusion coefficient,diffusion coefficient,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
link manipulation,link manipulation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
group relations,group relation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
link communities,link community,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
book chapters,book chapter,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
research papers,research paper,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
sample documents,sample document,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
train machine,train machine,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
dissemination schemes,dissemination scheme,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
element retrieval,element retrieval,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
elicitation algorithms,elicitation algorithm,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
conversion procedure,conversion procedure,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
auction protocols,auction protocol,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
threshold functions,threshold function,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
breakthrough computing,breakthrough computing,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
computing power,computing power,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
process activities,process activity,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
grid environment,grid environment,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
process monitoring,process monitoring,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
hydrocarbon reservoir,hydrocarbon reservoir,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
energy exploration,energy exploration,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
oil fields,oil field,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
oil wells,oil well,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
number licenses,number license,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
tigre grid,tigre grid,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
gridway metascheduler,gridway metascheduler,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
simulation runtime,simulation runtime,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
integer program,integer program,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
program formulation,program formulation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
decision variant,decision variant,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
payment maximization,payment maximization,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
quasilinear setting,quasilinear setting,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
design question,design question,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
design standpoint,design standpoint,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
energy limitations,energy limitation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
adaptive duty,adaptive duty,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
duty cycling,duty cycling,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
cycling algorithm,cycling algorithm,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
duty cycle,duty cycle,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
energy availability,energy availability,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
energy consumption,energy consumption,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
application utility,application utility,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
neutrality constraint,neutrality constraint,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
energy opportunities,energy opportunity,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
harvesting platform,harvesting platform,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
power management,power management,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
level descriptions,level description,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
learning tasks,learning task,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
learning decisions,learning decision,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
web content,web content,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
relational databases,relational database,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
middleware layer,middleware layer,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
consistency semantics,consistency semantic,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
end database,end database,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
web servers,web server,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
database servers,database server,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
source applications,source application,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
benchmarks representative,benchmark representative,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
end throughput,end throughput,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
incentive issue,incentive issue,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
price trading,price trading,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
stock trading,stock trading,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
resource failures,resource failure,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
task completion,task completion,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
congestion settings,congestion setting,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
failure probability,failure probability,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
search accuracy,search accuracy,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
term overlap,term overlap,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
expansion techniques,expansion technique,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
document frequency,document frequency,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
probability function,probability function,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
document events,document event,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
parameter estimation,parameter estimation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
processing times,processing time,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
waiting costs,waiting cost,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
value rule,value rule,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
fairness axioms,fairness axiom,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
independence properties,independence property,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
web applications,web application,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
thinclient solution,thinclient solution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
function web,function web,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
application logic,application logic,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
screen updates,screen update,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
fidelity display,fidelity display,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
screen sizes,screen size,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
landscape viewing,landscape viewing,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
viewing modes,viewing mode,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
pda control,pda control,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
control buttons,control button,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
screen resolution,screen resolution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
application display,application display,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
pda web,pda web,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
client approaches,client approach,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
browser helper,browser helper,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
helper applications,helper application,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.2933173190831675e-05,
privacy attitudes,privacy attitude,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
decision making,decision making,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
making process,making process,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
management strategies,management strategy,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
end quality,end quality,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
adaptive resourcemanagement,adaptive resourcemanagement,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
resourcemanagement middleware,resourcemanagement middleware,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
control techniques,control technique,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
workload fluctuations,workload fluctuation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
dre multimedia,dre multimedia,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
facilitate group,facilitate group,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
risk allocation,risk allocation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
market institution,market institution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
event resolution,event resolution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
trader interface,trader interface,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
auction format,auction format,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
ask queues,ask queue,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
addition variable,addition variable,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
market maker,market maker,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
document processing,document processing,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
document editing,document editing,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
database techniques,database technique,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
collaboration scenarios,collaboration scenario,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
date documents,date document,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
query evaluation,query evaluation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
architecture act,architecture act,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
network latency,network latency,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
server congestions,server congestion,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
preference aggregation,preference aggregation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
design optimization,design optimization,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
demand delivery,demand delivery,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
video clips,video clip,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
target environment,target environment,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
car density,car density,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
car routes,car route,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
popularity distribution,popularity distribution,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.341849712696799e-05,
monotonicity property,monotonicity property,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
line advertising,line advertising,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
computer science,computer science,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
science perspective,science perspective,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
matching strategy,matching strategy,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
precision figures,precision figure,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
impedance coupling,impedance coupling,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
coupling strategy,coupling strategy,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
core tasks,core task,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
art baseline,art baseline,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
retrieval scores,retrieval score,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
sensor devices,sensor device,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
node localization,node localization,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
msp design,msp design,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
sequence flip,sequence flip,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
mirage test,mirage test,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
strategy implementations,strategy implementation,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
parameter domains,parameter domain,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
strategy concept,strategy concept,NOUN+NOUN,2,1,1,0.0352,False,rejected,-4.390280025813598e-05,
